"species";"logSSD";"ecomorph"
"oc";-0.00512;"twig"
"eq";0.08454;"crown-giant"
"co";0.24703;"trunk-crown"
"aln";0.24837;"trunk-crown"
"ol";0.09844;"grass-bush"
"in";0.06137;"twig"
"cu";0.09501;"crown-giant"
"ri";0.08947;"crown-giant"
"sa";0.28893;"trunk-ground"
"op";0.15963;"grass-bush"
"va";0.14766;"twig"
"li";0.38873;"trunk-ground"
"ga";0.28768;"crown-giant"
"gr";0.39786;"trunk-crown"
"br";0.17106;"trunk"
"di";0.13801;"trunk"
"kr";0.23478;"grass-bush"
"cr";0.39796;"trunk-ground"
"st";0.15737;"trunk-crown"
"cy";0.26024;"trunk-ground"
"alu";0.08216;"grass-bush"
"lo";0.13108;"trunk"
"an";0.13547;"twig"
